text,label,score
The Washington Post Magazine,neu,0.0
I don't know about algorithms and what not. But I think it's going in order of who's had it,neu,0.0
oh wait nvm it's in the UK,neu,0.0
not always possible but i try.,neu,0.0
I think they are I see people tweeting,neu,0.0
The mariachi are singing amor eterno,pos,0.6124
"Greetings. Allow me, to introduce you to my House &amp; Techno label on beatport.",pos,0.5719
Really wish I was going dancing tonight,pos,0.4576
"I get so defensive when it comes to my friends, don't care who you are.",pos,0.218
"Post truth , actual facts , The system operates as designed",pos,0.3182
I still have hope 🇩🇴,pos,0.4404
Another play crosses the line. Wawrinka closes it out to bring home the 4-fold! We. Are. On.,pos,0.4003
thank you,pos,0.3612
The Innocent Five-year-old Little Boy Was Killed By --,neg,-0.4284
"CUT MY LIFE INTO PIECES, THIS IS MY LAST RESORT SUFFOCATION, NO BREATHING DONT GIVE A FUCK IF I CUT MY ARM BLEEDI…",neg,-0.836
"My cutie and our adventures give me life ️️️ I promise he likes me, it was just crazy cold",pos,0.765
Adding this to the list of things I can never buy again as I eat the entire bag in one sitting.,neu,0.0
Im the new kami,neu,0.0
"Bitches will argue with you over text, see you in person and be all smiles.",neg,-0.4939
You get what you give but sometimes you give more than you get,neu,0.0
do you ever just get so bored you cry,neg,-0.7274
5 new exercises to boost that boring workout,pos,0.1027
i love selena but pls stop,neu,0.0644
shut up bruv — Looool you're a funny one,pos,0.4404
i'm cryin g,neu,0.0
"Good tip for men in a relationship: if you have a girlfriend, than yours the bitch!That'll knowledge will keep you in a relationship.",pos,0.4926
I've been there too many times,neu,0.0
I was born with a silver spoon in my mouth. I'll admitt that. Sure it's helped but also brought it's own issues.,pos,0.1655
i miss Bri,neg,-0.1531
"He edited my "" ain't no harvestable organs in me anymore "" lyric from the published version.",pos,0.2235
Someone on ig followed me called chubbyandinjured69 bruh lmfao what in the fuck,neu,0.0
So what are you proposing?! …,neu,0.0
Too much sugar and I like it! DIY!!! Citra Showers from and hop yea!!! My Hoppy…,pos,0.5673
Same tbh,neu,0.0
Are you ready?,pos,0.3612
Ain't nothing like the love of my life ️,neg,-0.3709
I will take you. Omg,neu,0.0
Don't be surprised if/when Clark Donatelli joins the long list of Wilkes-Barre/Scranton coaches who have found work in the NHL.,neg,-0.1695
its no fun when i'm sitting all alone,neu,0.0258
so like if you got lvl 60 in early access did you stay lvl 60 after the full release?,pos,0.4201
"LOL, all of headlines r very misleading. They assume you will not read the article. Palin believes Trump will fix far-right f*ckups",pos,0.1381
I'm not going to be able to stay awake until 2:00 am for daylight savings time this year,neu,0.0
Life is what happens to you while you’re busy making other plans.follow for help with your dreams!,pos,0.69
Anaheim has the rainbow ocean,neu,0.0
I'm a cunt looool,neg,-0.4939
I take my Orisha involvement serious I don't play . don't come in my house touching my alter that's a quick way to get kicked out,neg,-0.3261
"The Lurking Man movie, cast and crüe taking the film festivals by storm.",pos,0.25
"Mississippi scores. Sam Higgins. A power play goal and the Dawgs now trail, 4-2",pos,0.34
Hopefully they're not telling him to break up with Noah.,pos,0.4019
The UN has always had and supported Socialist &amp; Communist Leaders via,pos,0.3182
"She was born after the War of the Ancients. So not young, not old. Somewhere between 7-9,000 years.",neg,-0.5994
i feel you... A little Jack Daniels and Dr. Strange,neg,-0.2023
Reasons why i watch anime:,neu,0.0
Slip Off to sunny Spain with a 2 or 3 night stay in the bustling city of Madrid Stay at the…,pos,0.4215
You're Welcome Hunny. Well deserved my Sexy Hunky Handsome Babes. So glad I'm actually cool with a celeb that,pos,0.9459
it pulled you away,neu,0.0
I love u bighead,pos,0.6369
LOOK AT MY FRIEND SHE IS GORGEOUS I CANT,pos,0.802
And my kids are better looking than most. Seriously. I have some very handsome sons! Go figure...,pos,0.69
I just genuinely want everyone to be happy. And on that note I can be at peace of what happens next.,pos,0.8176
A loving heart is the truest wisdom. -Charles Dickens NadineOn ASAPMarSorpresa,pos,0.8807
stop you're just looking in all the wrong places for all the wrong reasons,neg,-0.8126
I'm so tired help,neu,-0.0553
Thank you Trump!,pos,0.4199
I'm so nice too you,pos,0.4754
One of the best feeling in the world is when you're hugging the person you love and they hug you back even tighter.,pos,0.9413
A loving heart is the truest wisdom. -Charles Dickens NadineOn ASAPMarSorpresa,pos,0.8807
Are the property brothers and the avett brothers also brothers,neu,0.0
If you have a extra Jamaican flag bring that bih to me at pangea. Greatly appreciated,pos,0.5563
btw wearing trendy pieces from forever 21 makes you the opposite of trendy,neu,0.0
I respect that you care. I won't argue We all have wants and we all grow up to learn to live without them.,pos,0.8093
It's really hard to pursue a creative endeavor when your overall sense of self-worth is all over the fucking place.,pos,0.2975
i freaking know,neg,-0.4215
the only reason they were allowed to join is we needed the runways. Let them leave and let them fall.,pos,0.25
everyones talkin about people bein mad about the bras but i aint even seein it i guess i have a good tl?!,pos,0.4664
"Incredibly happy for , whole community is proud of all you guys!",pos,0.8118
"you may have been cool in high school and college, but as men mature we want experience not little girls with foolish ideas.",pos,0.5492
I liked a video from Produce 101 Boys &amp; Girls - Pick Me/나야나 (MashUp),pos,0.4215
you asking or stating?,neu,0.0
MY FUCKING BOY,neu,0.0
A loving heart is the truest wisdom. -Charles Dickens NadineOn ASAPMarSorpresa,pos,0.8807
i don't have cable :(,pos,0.3412
it's so ridiculous what the fuck,neg,-0.7425
LAST CALL!!!!,neu,0.0
"Wow, how very cool. I'd want these guys on it.",pos,0.788
I entered to win Spring Break in the East or West!,pos,0.6239
Had a good time talking to the founder Sheila about her reasons for creating the museum in 2009 &amp; all the challenge…,pos,0.6249
Setting the clocks forward is fascism,neu,0.0
When dad makes his family tags post on FB he tags bae too,neu,0.0
Tweets: The ref tackled him we didn't even get to see anything! - DJ,neu,0.0
YOU YELL A LOT AND CONFRONT PEOPLE A LOT,neg,-0.1779
"Yes, poor officiating, but when you are up 3 and lose by 2, it's on you at the end of the day.",neg,-0.5789
So me an are acting like hard core gamers strategizing to kill the world. No worries it's a game called plague,neg,-0.8225
Wherever I go people make fun of the size of my fingers so I feel you Cheem.,pos,0.5106
"might be going to the blad soon not sure yet, what position you gonna play",pos,0.1124
I forgot one more: Blair Waldorf - Gossip Girl.,neg,-0.2415
Now I feel like you never kept it a buck wit me,pos,0.3612
Doesn't matter how you feel inside. Put your best face on and keep it pushing.,pos,0.6281
"How many dogs must die at the Iditarod before people agree to stop this dangerous and deadly ""sporting"" event?",neg,-0.8034
I really appreciate your input! Thanks!,pos,0.7563
Oh that I will live as if I am the only picture of Christ that those I encounter will see!,neu,0.0
I'm praying she will be ok,pos,0.5719
Tweets: taking over the Twitter is such a beautiful thing,pos,0.5994
"It's so hot, i have a headache",neu,0.0
I'm sorry Ms. Jackson I AM FOR REAAAAL,neu,-0.0772
I'm shocked I remember that decade too.,neg,-0.3182
how long you there for??,neu,0.0
"Leafs win and the ""Ole, Ole, we're so fucking great"" booted out of 1st in Atlantic Just doesn't get any better than this!",pos,0.8104
"Also, today I read 10 or more volumes of Vento Aureo jesus",neu,0.0
As long as I know you'll always be by my side there will never by any reason for me to cry MARVOREE MOBEOnASAP,neg,-0.4767
Faith Baca buzzes through 22 rounds to win the Colorado State Spelling Bee,pos,0.765
I get what I want 🤗,neu,0.0772
my dad is the daddest dad to ever live,neu,0.0
Hey saw you chatting to O2. Hope they sort you out :) Check out our guide to mob insurance,pos,0.7096
You are the coolest dancer in the world,neu,0.0
Sensual feeling Because the man’s sexual ecstasy first Sensual feeling sexual act whereas the female fluid is suffused with,pos,0.7096
"what's it like to have clear skin, not super dry hands, be hydrated and well rested. I wouldn't know",pos,0.4685
Rachel just told me that she prayed for me and I almost cried. my heart is full,neg,-0.3197
Thanks Yazmin McCoy for following me! I hope you enjoy my content :),pos,0.906
Real talk I give myself a lot of bruises just from being clumsy and throwing my body full force at corners of doors and walls,neu,0.0
girl don't start you have a unknown in your icon,neu,0.0
NO ONE EVER TOLD ME YOU COULD JUST PEEL IT OFF AND USE IT AGAIN,neg,-0.296
I'm earning in mPLUS Places.,neu,0.0
timing on point,neu,0.0
I have 2 left in my account and not adding my that's why I said take my 2 beans lmao. I'll happily give you it xo,pos,0.8176
Free Download: The most comprehensive list of Tips on earth!,pos,0.7082
лав юю miss you happy birthday 🥂,pos,0.4767
muthafucka who said i had easter jelly beans?,neu,0.0
"I just wanna chill wit sum girls, but no ones texting back ️",neg,-0.4215
"Grandma Refused To Sell Her House, So The",neg,-0.296
i rted you,neu,0.0
John Lee Hi there We invite you to this porn cam no cost register Click on my profile.,neg,-0.1531
This is the most nerdy thing I’ll say today - but I’m excited that I upgraded to a USB 3.0 flash drive.,pos,0.4317
UHM. WOW ?????,pos,0.7574
i better get a daylight savings eve paragraph 🤔,pos,0.4404
Worst tweet of all time 1.1k RT and 1.4k likes for filming off his TV ffs,neg,-0.7269
THIS !,neu,0.0
sorry but I don't hate camila so you have no point there,pos,0.1659
We've been dealt too many Bad Hands by Career Politicians! SHUFFLE THE DECK!,neg,-0.6229
You mean in the Hawkeye State?,neu,0.0
Think of what I'm thinking.. I'm just right...,neu,0.0
I love listening to pnb rock,pos,0.6369
"This was just ya average game, something lite for you",neu,0.0
"There were a lot of awesome moments as Senior Day went on, but here are the best of the best!",pos,0.9472
I just got to try one the other day. They have a tiny bit more chocolate on bottom but the choc is not as good. I think LBB's r btr,neg,-0.4782
"""Goody""",neu,0.0
"If I let you know I'm here for you, Maybe you'll love yourself like I love you .",pos,0.8979
I'm reading Colossians 3:3 via,neu,0.0
them with trash talk pussy let's go I want a HYPE match,neu,0.0772
I kinda wanna throw camilo his 3rd bday party. Invite other babies and shit.,neu,-0.0772
I'm crying,neg,-0.4767
Back to America I go 🇺🇸️,neu,0.0
you must work in the morning. That's the only reasonable explanation!,neu,0.0
how's your stay in Wisconsin so far? Enjoying the beer and food?,pos,0.6172
I'm really expecting a DJ khaled and 5H collab after the big hype he has with them and how much he likes them ...,pos,0.4215
i miss therapy i miss my job i miss how i looked like 3 years ago i fucking miss everything i dont have anymore and that includes my sanity,neg,-0.2263
The curve in the S8 is the ugliest thing ive ever seen,neg,-0.5859
"I love a man with a big, sexy mouth. And other big things but that's for another time. Lawd, he foine.",pos,0.5859
"well I did, but unless a player is racist or homophobic you couldn't care less about banning them",neg,-0.8553
I'm seriously just sitting here worrying because Coltons out and the snow won't stop coming down. Like tf.,neu,0.0742
He's the sweetest thing that i know,neu,0.0
is the worst. Messed up both of my orders. What a waste of money.,neg,-0.8519
i love you so much,pos,0.6369
A rat that has not partaken in the ingestion of alcohol or illegal narcotics,neg,-0.5574
WHY DO I HAVE TO WORK,neu,0.0
"cutie jeon jungkook,, am i right?",pos,0.3612
Fatality accident / apd &amp; ems on the scene in on Burleson Rd near Stassney,neg,-0.8225
so don't you dare kick a fuss over something that was your fandoms fault.,neg,-0.4019
but will he be there at 28? God I hope so,pos,0.7579
"When I have the time, just to be clear.",pos,0.3818
breakfast then head to the office with a hangover.,neu,0.0
He Saw A White Box In The Snow. --,neu,0.0
then bn im sleeping so u can sleep even though i slept 379220384728 hrs today,neu,0.0
"Speaking for the trees: hope, despair, and regrowth in Tasmania's charred wilderness |",pos,0.1531
(CNN)The impeachment of President Park Geun-hye will usher in new leadership that could take a vastly different...,neu,0.0
lmao. See? And even now their grp is in chile and their own fandom cant stop the damn chaos there,pos,0.5181
i really wanna read Captain Moose's comic on tapastic but i don't have time ;-;,neu,0.0
"My hero. Congrats , is looking pretty wonderful.",pos,0.9313
company is in those DMs you curve,neu,0.0
ａｎｇｅｌｉｑｕｅｍａｒｉｅｌ () | the other day …,neu,0.0
"And now you say I changed, like I'm doing all of this to stay the same",pos,0.3612
....No Frauds was still trash tho and I will continue to jack that despite the popularity it will amass solely based off of who is on it,neg,-0.7054
Fuck you,neg,-0.5423
"He Got Bit By A Poisonous Spider, Watch When We Squeezes The Wound...",neg,-0.5719
If You Are Having A Bad Breath This --,neg,-0.5423
*BITCHES🤞,neu,0.0
Happy Birthday baby brother! Love you!,pos,0.8585
Leafs picking up wins in games they need to. This is where they have to push for the playoffs.,pos,0.5719
Lol go watch this video if you breath air lol,pos,0.6808
whew. not apart of the collection.,neu,0.0
i TRUST your artistic representation of me,pos,0.6166
"The main events of the novel take place in the summer of 1922. Nick Carraway, a Yale graduate and veteran of the Great War from the Midwest—",pos,0.3612
What you focus on will develop,neu,0.0
I came out to have a asleep time but honestly I'm feeling so blue right now,pos,0.6956
listen taehyung is improving so much his high note in stigma i'm so proud,pos,0.7777
note: i copied these tweets from a kboos thread about korean couples skdjsjd dont attack me (no one did but js),pos,0.1967
"yeah i will stop now, ill stop saying the FACT that jimin is big :)) good bye",neg,-0.2732
"Cancel the Osiris Shrine Circus in Wheeling, WV",neg,-0.25
Guess it wasn't meant to be so it is what it is and it hurt me so bad I even shed tears,neg,-0.8439
Thanks cody mccasland for following me! I hope you enjoy my content :),pos,0.906
what. the. fuck.,neg,-0.5423
But I'm just goin continue to enjoy my night🤗,pos,0.4939
I'm watching Fifty Shades Darker (2017),neu,0.0
How To Be A Business Rapper (Getting To The Money),neu,0.0
wanting to talk. so dm if you want to.,neu,0.0772
i miss u,neg,-0.1531
you are unbelievably talented and I'm more than happy to share your work! ️,pos,0.8768
my polish is 10x better than the two of you wannabe polish peoe,pos,0.4404
WILL PROTECT FOR THE REST OF MY LIFE,pos,0.3818
I'm down,neu,0.0
69 rts and I'll get an ass tat,neg,-0.5423
// you're hallucinating,neu,0.0
"""Wtf is your background? Why do you have a Dr Seuss background?""- ..............",neg,-0.6322
"i feel like a whole new person now that im bald, me likey",pos,0.3612
This has been the best year of my life I've never been so happy :'),pos,0.9263
tex—lock : the bike lock made of high-tech textiles うーん…。,neu,0.0
Transfer Talk: Man United face a battle to keep hold of Jesse Lingard with both Chelsea and Arsenal lurking - The Sun (ESPN) …,neu,-0.0772
going on Wednesday and I can’t wait,neu,0.0
damnit ross you havent set it to animation yet!,neg,-0.5707
"...you know nothing about scuba, people can talk when they have tools",neu,0.0
